month,serious_accidents,hpi_count,million_hours_worked,safr,safr_monthly_avg,safr_3mth_rolling,safr_12mth_rolling,hpifr,hpifr_monthly_avg,hpifr_3mth_rolling,hpifr_12mth_rolling,financial_year
2012-07-01,0.0,15.0,1.240342,0.0,0.0,,,12.093438745120297,12.093438745120297,,,2012-13
2012-08-01,1.0,21.0,1.328289,0.7528482130018391,0.3893124391942634,,,15.809812473038622,14.015247810993483,,,2012-13
2012-09-01,1.0,9.0,1.299686,0.7694166129357399,0.5170207095230304,0.5170207095230304,,6.9247495164216595,11.632965964268182,11.632965964268182,,2012-13
2012-10-01,0.0,11.0,1.361587,0.0,0.38241619731452053,0.5013081636530526,,8.078808037973335,10.707653524806576,10.276817354887578,,2012-13
2012-11-01,0.0,8.0,1.489311,0.0,0.2976538181915596,0.24092995106230833,,5.371611436429329,9.524922182129908,6.746038629744633,,2012-13
2012-12-01,0.0,20.0,1.318949,0.0,0.24881303740505922,0.0,,15.163588584547243,10.450147571012486,9.352861148142846,,2012-13
2013-01-01,1.0,18.0,1.20787,0.8279036651295255,0.3244634402166378,0.24899592393672518,,14.90226597233146,11.031756967365686,11.453812501089358,,2012-13
2013-02-01,0.0,12.0,1.284515,0.0,0.2848854318991346,0.26237532580456085,,9.342047387535374,10.825646412167115,13.118766290228043,,2012-13
2013-03-01,1.0,11.0,1.277578,0.7827310739539972,0.3387497441380839,0.5305091853686628,,8.61004181349397,10.585929504315121,10.875438300057587,,2012-13
2013-04-01,0.0,11.0,1.21327,0.0,0.30718670201054465,0.2648751921338425,,9.066407312469606,10.44434786835852,9.005756532550645,,2012-13
2013-05-01,1.0,12.0,1.275877,0.7837746115025195,0.3497170159850053,0.5309652284146041,,9.405295338030234,10.351623673156157,9.026408883048271,,2012-13
2013-06-01,0.0,9.0,1.215676,0.0,0.322311359219233,0.26991842795188864,0.322311359219233,7.403288376179179,10.120576679483916,8.637389694460436,10.120576679483916,2012-13
2013-07-01,1.0,11.0,1.301084,0.7685898835125173,0.3568447643200912,0.5273375754125692,0.385265099630839,8.454488718637691,9.991653400962553,8.437401206601107,9.824260040586394,2013-14
2013-08-01,0.0,9.0,1.26768,0.0,0.33182694959117265,0.2642398875395039,0.3223085959122375,7.099583491101856,9.788895012939593,7.6629567386456126,9.089102404725097,2013-14
2013-09-01,0.0,12.0,1.277691,0.0,0.30992688050071787,0.25997964359390663,0.2582129802632327,9.391942183203922,9.762696735772613,8.319348595005012,9.295667289476377,2013-14
2013-10-01,0.0,16.0,1.316929,0.0,0.29018683873069573,0.0,0.25895951362224157,12.149478066015707,9.914716989965438,9.57978406648888,9.646241882428498,2013-14
2013-11-01,0.0,9.0,1.318348,0.0,0.27279321428698083,0.0,0.2618577880466764,6.826725568666239,9.729624642902317,9.455737946234162,9.819667051750365,2013-14
2013-12-01,1.0,10.0,1.181072,0.846688432203964,0.3020397955553032,0.2620305428041303,0.33030356879793943,8.46688432203964,9.665273457769702,9.17106899814456,9.248499926342303,2013-14
2014-01-01,0.0,13.0,1.060461,0.0,0.28882397684621963,0.2809082663156437,0.2668413410084908,12.258819513400303,9.77875464465058,8.989064522100598,9.005895259036565,2013-14
2014-02-01,1.0,8.0,1.032381,0.9686346416681438,0.31659851619773416,0.6108895957560277,0.33925797631124394,7.749077133345151,9.695829558555609,9.468788734218432,8.88855897935459,2013-14
2014-03-01,0.0,6.0,1.249926,0.0,0.3016759380481311,0.29915327656600754,0.27191655968449513,4.800284176823268,9.465082556260112,8.077138467282204,8.565371630061597,2013-14
2014-04-01,0.0,8.0,1.047308,0.0,0.2902143704724291,0.3003350237189585,0.27501931495026316,7.638631615532394,9.395690244044893,6.607370521817086,8.456843934720592,2013-14
2014-05-01,1.0,10.0,1.261249,0.7928648506361551,0.3122064500534376,0.2810186250714139,0.27529619289453644,7.928648506361551,9.331503896041635,6.744447001713933,8.327709835059727,2013-14
2014-06-01,0.0,6.0,1.095712,0.0,0.3007740822037624,0.2937488194969316,0.2775880733173947,5.475891475132151,9.190319178448295,7.049971667926359,8.188848162863144,2013-14
2014-07-01,0.0,8.0,1.007844,0.0,0.2909736576698151,0.29719404244822506,0.2125157465313357,7.937736395712035,9.149505013395297,7.132657018757402,8.14643695036787,2014-15
2014-08-01,0.0,8.0,1.029929,0.0,0.28159703314372053,0.0,0.21615623772863027,7.7675257226469006,9.10497073831363,7.020936752529531,8.21393703368795,2014-15
2014-09-01,1.0,20.0,1.255658,0.7963951967812892,0.30105771812339166,0.303634720144433,0.2886665819430248,15.927903935625784,9.362895033637482,10.930849925199587,8.804330749262256,2014-15
2014-10-01,0.0,11.0,1.022634,0.0,0.2920658330406834,0.3022772662406774,0.29493039716359537,10.756536551689068,9.404519823910006,11.788813383386419,8.626714117035164,2014-15
2014-11-01,0.0,12.0,1.066015,0.0,0.28324703409906243,0.29901561070798827,0.3005216529983158,11.256877248443972,9.460450938908686,12.857671260443496,9.015649589949474,2014-15
